Commissioner Org Name,Treatment Function Name,Commissioner Org Code,Treatment Function Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
Knowsley,Neurology Service,01J,C_400,20,22,64,29,19,31,29,22,10,18,26,6,26,19,9,6,10,10,6,10,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds,Neurology Service,15F,C_400,109,109,128,141,110,150,103,125,118,113,96,78,98,62,94,77,58,58,81,75,74,55,51,25,37,22,21,14,10,10,11,8,4,4,5,4,1,0,1,0,1,2,4,1,6,4,1,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester City,Neurology Service,04C,C_400,44,48,34,44,43,42,43,34,36,28,39,30,27,35,33,24,16,23,34,29,30,31,29,8,22,6,1,2,1,1,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincolnshire,Neurology Service,71E,C_400,113,85,135,124,50,102,92,90,89,77,68,114,60,70,88,98,70,49,53,69,59,45,69,33,38,58,66,55,51,39,30,41,70,49,29,45,46,34,23,11,47,27,47,39,43,47,23,35,32,44,33,38,33,41,35,36,37,32,27,28,32,34,32,33,34,22,30,26,19,19,32,21,20,24,14,20,25,6,17,29,10,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Neurology Service,99A,C_400,222,178,213,99,63,59,67,66,56,41,41,48,56,39,21,16,16,12,10,5,14,5,1,3,1,2,2,0,1,0,1,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester,Neurology Service,14L,C_400,2,1,3,20,1,2,4,0,4,3,3,5,4,2,5,3,3,1,5,1,1,1,1,1,6,5,1,3,2,7,3,1,1,1,1,2,1,0,2,1,0,2,1,1,4,1,2,4,2,3,1,0,0,0,2,7,2,1,1,1,0,0,0,0,0,4,2,3,2,2,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Essex,Neurology Service,06Q,C_400,61,40,69,59,33,44,57,46,52,52,36,31,56,14,21,12,11,15,16,17,25,31,47,29,41,30,26,20,20,16,34,19,22,9,15,9,10,10,3,2,14,10,7,8,7,11,7,12,11,5,0,4,3,1,0,2,1,1,1,1,0,0,2,2,1,1,2,1,2,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morecambe Bay,Neurology Service,01K,C_400,48,48,56,50,38,46,47,54,25,44,34,49,47,49,40,42,25,23,49,31,35,22,40,21,15,27,26,30,27,28,21,23,20,15,18,36,16,18,20,13,13,18,16,19,15,22,23,12,10,9,13,7,21,9,19,10,4,9,14,8,10,15,12,11,6,4,10,8,6,5,6,4,1,5,2,1,3,2,1,2,2,3,1,1,1,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Newcastle Gateshead,Neurology Service,13T,C_400,85,55,47,52,33,38,45,48,60,53,48,35,41,41,41,43,43,24,14,16,12,7,6,6,8,4,6,4,9,8,4,4,7,11,6,3,1,3,0,0,2,3,1,1,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk And Waveney,Neurology Service,26A,C_400,194,152,158,159,130,177,174,135,153,158,130,142,131,130,129,135,118,84,122,143,102,91,98,49,78,84,69,72,53,45,23,17,23,19,26,17,11,12,8,8,14,8,7,5,3,2,1,2,1,6,3,0,6,2,3,2,0,4,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Central London,Neurology Service,93C,C_400,268,247,307,263,187,279,209,273,260,243,244,232,209,206,206,189,143,118,138,139,127,94,125,72,109,94,78,67,58,91,52,55,44,37,45,47,53,22,24,10,22,19,23,10,15,7,9,11,10,1,6,1,2,1,0,3,1,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Cumbria,Neurology Service,01H,C_400,17,60,45,48,29,61,45,46,36,36,33,35,42,29,42,48,36,30,41,29,29,32,38,12,16,14,11,10,8,6,12,7,14,10,9,7,7,5,9,2,6,9,9,5,10,11,8,7,7,7,8,4,3,5,4,3,2,4,5,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East Essex,Neurology Service,06T,C_400,80,64,73,48,56,52,61,46,55,57,48,57,43,40,40,34,24,36,44,22,24,17,22,9,13,27,11,11,12,10,7,9,7,9,7,6,3,2,2,0,3,1,5,0,0,0,2,3,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East Lincolnshire,Neurology Service,03H,C_400,19,14,13,21,20,24,13,22,19,13,18,14,18,24,21,18,8,18,9,14,14,17,8,9,13,12,12,20,17,24,5,15,6,3,8,7,6,3,2,3,2,3,4,8,5,3,2,1,2,0,0,1,2,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East London,Neurology Service,A3A8R,C_400,316,267,333,273,219,272,241,256,238,264,240,197,245,211,210,216,155,129,180,169,178,125,163,95,109,127,107,125,93,126,69,87,79,94,79,60,49,44,34,30,46,51,66,58,22,13,21,31,27,40,28,19,7,12,4,1,0,0,1,1,0,0,1,0,0,3,0,3,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lincolnshire,Neurology Service,03K,C_400,24,21,16,22,17,19,26,19,24,18,25,13,16,26,32,27,21,17,26,20,18,15,21,15,18,24,15,13,10,12,13,18,9,8,15,7,13,6,1,1,9,8,2,5,3,4,1,4,0,2,3,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Staffordshire,Neurology Service,05G,C_400,22,50,34,21,25,41,33,32,30,42,19,22,33,38,27,44,22,26,23,51,18,22,29,16,33,25,18,20,20,20,22,23,28,24,15,23,18,29,10,11,13,10,18,17,18,19,21,10,7,8,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Tyneside,Neurology Service,99C,C_400,41,19,16,24,19,20,21,24,15,23,17,14,13,21,26,18,8,11,11,5,6,6,1,3,6,4,6,2,2,4,2,1,3,5,2,3,0,0,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North West London,Neurology Service,W2U3Z,C_400,420,339,328,369,283,353,325,358,354,316,277,330,358,352,311,323,273,224,273,321,312,225,304,169,290,223,199,275,246,247,228,217,211,203,196,167,159,139,104,62,142,136,129,120,111,116,107,93,63,81,71,39,35,36,25,34,16,13,26,26,32,32,24,23,22,20,22,21,26,6,3,7,8,11,8,6,7,11,6,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
North Yorkshire,Neurology Service,42D,C_400,56,68,42,52,36,44,30,47,51,52,30,36,38,51,55,50,27,45,35,31,26,31,27,20,34,38,43,37,27,26,21,22,23,20,30,20,16,15,9,7,10,12,13,24,18,18,13,14,4,13,3,3,1,2,1,0,6,2,2,5,3,10,0,1,0,1,0,1,1,1,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northamptonshire,Neurology Service,78H,C_400,82,79,107,70,51,86,87,59,65,57,43,48,54,72,51,65,30,30,45,53,36,27,30,16,22,28,25,28,23,9,15,14,9,3,8,15,17,21,5,8,9,15,9,1,2,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northumberland,Neurology Service,00L,C_400,54,37,23,41,33,30,24,29,33,28,32,21,15,19,18,23,18,13,8,4,9,3,4,3,9,5,3,3,4,6,3,0,2,4,3,2,4,1,1,0,3,3,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottingham And Nottinghamshire,Neurology Service,52R,C_400,49,46,81,79,46,70,57,54,58,62,60,49,63,56,49,50,41,47,49,44,24,18,19,3,14,18,15,11,3,1,1,2,5,5,3,5,1,2,1,1,2,2,2,1,2,2,2,0,1,0,0,2,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oldham,Neurology Service,00Y,C_400,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxfordshire,Neurology Service,10Q,C_400,10,8,9,9,8,13,10,5,7,3,11,10,5,8,8,3,7,2,2,5,1,2,5,1,1,6,2,0,3,0,4,3,2,5,3,4,0,1,1,0,1,1,2,1,1,2,1,1,0,2,0,0,1,1,0,0,3,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth,Neurology Service,10R,C_400,30,21,26,19,20,29,20,15,37,18,11,14,13,11,9,11,11,7,14,11,8,11,6,4,8,8,9,11,9,5,8,2,6,2,0,2,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotherham,Neurology Service,03L,C_400,105,154,10,19,13,10,96,25,25,16,71,33,17,45,25,136,21,12,10,16,25,50,12,7,16,11,7,6,6,3,5,5,6,9,24,10,23,11,3,5,8,10,4,9,4,2,8,4,4,1,4,4,3,2,0,0,1,0,1,4,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salford,Neurology Service,01G,C_400,0,1,4,3,3,5,1,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield,Neurology Service,03N,C_400,95,325,39,43,22,68,57,52,48,73,210,126,35,48,47,28,33,43,37,48,36,27,42,11,37,25,27,26,15,14,25,20,19,17,13,21,15,9,5,7,12,12,10,6,11,9,13,11,7,4,4,9,7,1,2,1,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shropshire, Telford And Wrekin",Neurology Service,M2L0M,C_400,44,29,41,68,51,57,61,73,55,52,40,48,52,66,40,47,27,31,51,40,77,39,40,22,70,55,17,25,22,29,27,42,28,28,25,33,35,26,16,8,26,29,30,31,10,10,5,1,16,23,17,7,18,15,8,8,2,1,1,2,2,1,0,2,1,0,2,1,1,1,1,2,2,0,3,0,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Somerset,Neurology Service,11X,C_400,86,67,73,61,47,68,65,60,63,56,52,59,44,47,47,52,32,26,33,38,30,26,26,17,28,29,32,19,20,16,20,17,17,11,16,16,13,16,11,12,13,17,16,8,18,13,7,6,8,3,2,3,3,3,3,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East London,Neurology Service,72Q,C_400,348,312,337,336,265,272,291,287,280,228,246,235,249,209,210,220,163,134,151,168,165,134,150,98,117,135,135,124,119,113,89,83,84,55,55,67,46,49,19,31,32,44,33,37,25,35,40,19,21,14,21,18,12,13,15,5,6,13,6,8,1,4,5,1,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East Staffordshire And Seisdon Peninsula,Neurology Service,05Q,C_400,30,21,31,22,28,33,15,18,26,14,19,19,25,25,20,18,11,14,22,14,19,14,24,6,18,9,22,8,15,16,16,9,25,24,13,13,16,9,11,2,13,14,12,8,3,6,4,7,8,7,2,4,10,6,1,6,6,4,3,3,1,5,3,4,6,4,7,6,5,5,4,4,2,2,5,0,2,2,4,2,1,3,2,1,1,1,2,1,1,0,2,0,2,1,0,1,1,1,1,3,5,3,0,1,0
South Sefton,Neurology Service,01T,C_400,36,33,25,35,29,18,15,21,16,20,18,11,17,16,9,5,2,3,1,6,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tyneside,Neurology Service,00N,C_400,19,27,19,21,18,24,20,17,22,15,13,14,10,10,10,9,4,8,6,14,8,4,5,2,3,0,5,2,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West London,Neurology Service,36L,C_400,267,230,301,259,193,227,213,242,234,202,219,218,192,198,162,147,114,122,141,94,112,83,96,59,81,60,53,44,50,48,49,54,43,50,44,32,26,25,20,12,25,21,20,18,22,20,22,13,9,8,10,5,6,2,6,3,0,1,0,2,3,2,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southend,Neurology Service,99G,C_400,54,35,27,18,32,21,28,14,12,24,27,8,16,8,6,5,2,2,2,2,0,1,3,3,0,2,2,4,6,2,3,4,1,1,4,4,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southport And Formby,Neurology Service,01V,C_400,13,18,36,23,12,19,17,9,14,20,13,18,14,13,9,7,8,2,7,11,6,1,2,2,2,2,1,2,3,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Helens,Neurology Service,01X,C_400,38,52,33,34,20,31,22,19,25,20,15,20,24,8,17,16,12,21,11,7,9,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stafford And Surrounds,Neurology Service,05V,C_400,24,35,33,20,21,15,31,24,24,30,21,19,23,17,20,25,18,10,24,31,14,10,13,8,15,19,25,19,24,21,13,13,14,20,10,8,10,13,8,7,9,20,7,12,8,10,5,2,6,5,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockport,Neurology Service,01W,C_400,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoke On Trent,Neurology Service,05W,C_400,30,60,49,32,32,41,34,32,29,51,27,31,38,38,46,51,21,32,30,47,25,29,33,20,34,37,29,31,25,39,36,28,24,38,27,41,21,31,8,10,18,19,20,25,27,20,25,18,8,6,8,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunderland,Neurology Service,00P,C_400,67,46,46,45,33,44,29,33,29,37,29,30,18,20,21,19,14,10,14,8,8,10,1,0,6,6,3,3,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surrey Heartlands,Neurology Service,92A,C_400,180,115,160,187,122,150,143,144,150,141,114,119,116,141,139,91,111,95,118,97,131,100,84,68,67,62,43,41,47,50,58,38,40,45,55,52,40,28,19,11,14,26,22,26,29,20,13,8,10,13,6,9,3,2,4,1,3,4,7,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tameside,Neurology Service,01Y,C_400,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tees Valley,Neurology Service,16C,C_400,99,84,80,71,37,58,52,65,106,98,53,38,59,58,52,50,38,48,69,38,52,36,59,28,54,27,49,41,35,23,32,32,21,20,35,15,20,6,6,2,8,33,17,19,10,14,11,7,10,8,10,13,3,8,11,2,3,5,5,7,11,5,0,2,5,3,2,0,4,3,6,3,5,0,1,1,5,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thurrock,Neurology Service,07G,C_400,31,25,31,29,36,32,30,25,18,17,28,21,25,20,19,29,16,17,17,17,16,12,27,16,14,18,19,14,16,20,19,13,12,16,18,9,11,15,12,3,13,6,3,9,13,2,9,6,2,3,2,1,3,6,1,1,2,0,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trafford,Neurology Service,02A,C_400,0,0,0,3,0,2,0,1,0,0,1,3,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vale Of York,Neurology Service,03Q,C_400,37,27,31,22,24,43,19,23,29,33,24,23,19,23,34,18,29,16,21,23,24,13,8,18,20,16,12,18,6,13,14,12,9,7,12,12,4,8,12,8,19,4,4,9,12,10,9,11,8,3,3,7,1,1,2,1,1,0,1,1,0,3,1,4,0,1,1,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wakefield,Neurology Service,03R,C_400,66,37,38,44,39,35,33,52,46,40,41,39,40,28,36,35,12,25,31,51,36,21,39,20,32,38,29,35,38,26,24,19,36,13,12,18,6,7,0,1,5,2,3,3,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrington,Neurology Service,02E,C_400,40,42,40,23,13,27,22,19,15,18,12,36,17,16,22,20,18,11,19,18,20,5,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Essex,Neurology Service,07H,C_400,43,22,30,24,28,31,26,25,23,18,18,14,26,16,19,23,23,14,20,20,9,12,9,8,8,9,6,15,13,5,10,7,7,8,4,7,5,3,2,1,4,7,3,3,1,6,0,4,1,2,3,2,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Lancashire,Neurology Service,02G,C_400,17,13,25,21,16,15,18,11,9,12,5,13,15,7,16,8,3,4,5,4,2,5,1,3,1,1,1,0,1,1,1,2,1,1,1,0,0,5,1,0,1,2,2,1,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Leicestershire,Neurology Service,04V,C_400,47,39,38,40,46,53,42,42,36,40,45,44,42,38,34,31,19,29,29,27,43,22,25,10,25,6,2,1,5,1,1,2,3,2,2,5,4,1,0,1,1,2,2,0,0,2,0,2,0,3,0,0,2,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Suffolk,Neurology Service,07K,C_400,68,37,48,42,31,23,29,32,29,28,31,39,31,19,23,14,9,8,4,6,6,4,5,4,4,3,8,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Sussex,Neurology Service,70F,C_400,193,153,210,150,143,173,146,143,130,142,158,124,131,118,143,128,89,117,116,132,116,101,89,69,93,104,93,88,85,84,82,47,59,59,74,50,42,42,42,22,41,42,33,28,45,26,34,49,49,33,35,29,20,23,21,20,12,11,9,20,15,9,11,8,14,6,14,6,4,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wigan Borough,Neurology Service,02H,C_400,14,15,9,9,3,12,13,11,4,8,4,4,8,4,6,9,3,4,8,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wirral,Neurology Service,12F,C_400,43,66,74,39,30,40,40,25,38,28,27,35,26,17,22,10,15,5,5,18,19,4,11,3,7,5,16,15,18,11,3,3,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnsley,Neurosurgical Service,02P,C_150,12,9,11,5,6,13,12,8,3,5,6,2,8,12,9,4,6,9,3,2,5,7,11,2,5,2,2,5,3,3,0,2,2,6,3,7,2,4,2,3,2,3,1,2,1,3,1,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
